Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-25T09:55:00.831Z","pro-free-trial","auto","No","2398","0","105984","1709","110091","0.04"
"2025-12-25T09:50:58.934Z","pro-free-trial","auto","No","3617","0","102400","1580","107597","0.04"
"2025-12-25T09:48:29.939Z","pro-free-trial","auto","No","9576","0","290304","3111","302991","0.10"
"2025-12-25T09:31:46.940Z","pro-free-trial","auto","No","8710","0","172032","2373","183115","0.07"
"2025-12-25T09:29:01.887Z","pro-free-trial","auto","No","6126","0","159744","1963","167833","0.06"
"2025-12-25T09:26:42.468Z","pro-free-trial","auto","No","2684","0","76800","1242","80726","0.03"
"2025-12-25T09:20:57.569Z","pro-free-trial","auto","No","71652","0","77824","2352","151828","0.12"
"2025-12-25T09:15:21.205Z","pro-free-trial","auto","No","7421","0","257536","2301","267258","0.09"
"2025-12-25T09:06:06.509Z","pro-free-trial","auto","No","56905","0","123904","1808","182617","0.11"
"2025-12-25T08:30:50.285Z","pro-free-trial","auto","No","6097","0","101376","2365","109838","0.05"
"2025-12-25T08:20:37.975Z","pro-free-trial","auto","No","43594","0","49152","3770","96516","0.09"
"2025-12-25T07:59:13.318Z","pro-free-trial","auto","No","36134","0","78848","2385","117367","0.08"
"2025-12-25T07:36:51.152Z","pro-free-trial","auto","No","21888","0","92160","1794","115842","0.06"
"2025-12-25T07:28:46.996Z","pro-free-trial","auto","No","5534","0","59904","2149","67587","0.03"
"2025-12-25T07:13:20.475Z","pro-free-trial","auto","No","23286","0","58368","3285","84939","0.06"
"2025-12-25T07:10:18.891Z","pro-free-trial","auto","No","22101","0","116224","1955","140280","0.07"
"2025-12-25T07:07:21.566Z","pro-free-trial","auto","No","8798","0","61952","2069","72819","0.04"
"2025-12-25T06:58:39.945Z","pro-free-trial","auto","No","26248","235979","54272","7592","324091","0.39"
"2025-12-25T06:44:37.757Z","pro-free-trial","auto","No","11193","0","297472","6056","314721","0.12"
"2025-12-25T06:38:39.605Z","pro-free-trial","auto","No","10155","0","303104","3821","317080","0.11"
"2025-12-25T06:33:15.410Z","pro-free-trial","auto","No","9855","0","231936","3947","245738","0.09"
"2025-12-25T06:24:29.443Z","pro-free-trial","auto","No","10623","0","104960","1676","117259","0.05"
"2025-12-25T06:12:30.581Z","pro-free-trial","auto","No","87668","0","280576","3502","371746","0.20"
"2025-12-25T03:22:51.419Z","pro-free-trial","auto","No","83315","0","94208","590","178113","0.13"
"2025-12-25T02:41:30.202Z","pro-free-trial","auto","No","1780","0","86016","357","88153","0.03"
"2025-12-25T02:38:35.035Z","pro-free-trial","auto","No","1930","0","84480","1085","87495","0.03"
"2025-12-25T02:28:00.086Z","pro-free-trial","auto","No","6973","0","490496","3650","501119","0.15"
"2025-12-25T02:17:15.485Z","pro-free-trial","auto","No","802","0","78336","413","79551","0.02"
"2025-12-25T02:16:46.809Z","pro-free-trial","auto","No","885","0","77824","334","79043","0.02"
"2025-12-25T02:02:57.024Z","pro-free-trial","auto","No","1166","0","76800","471","78437","0.02"
"2025-12-25T01:53:04.907Z","pro-free-trial","auto","No","71445","0","235520","1400","308365","0.16"
"2025-12-24T10:30:39.711Z","pro-free-trial","auto","No","5932","0","275968","971","282871","0.08"
"2025-12-24T10:28:59.124Z","pro-free-trial","auto","No","31755","0","145920","1382","179057","0.08"
"2025-12-24T10:12:47.473Z","pro-free-trial","gpt-5.2","No","0","50715","74752","2339","127806","0.13"
"2025-12-24T10:05:25.094Z","pro-free-trial","auto","No","4213","0","288256","1656","294125","0.09"
"2025-12-24T10:02:56.985Z","pro-free-trial","auto","No","5837","0","431616","1201","438654","0.12"
"2025-12-24T09:42:11.500Z","pro-free-trial","auto","No","1285","0","69632","64","70981","0.02"
"2025-12-24T09:41:24.640Z","pro-free-trial","auto","No","966","0","69120","523","70609","0.02"
"2025-12-24T09:40:44.803Z","pro-free-trial","auto","No","1488","0","68096","418","70002","0.02"
"2025-12-24T09:38:55.424Z","pro-free-trial","gpt-5.2","No","0","22020","49280","1006","72306","0.06"
"2025-12-24T09:36:44.984Z","pro-free-trial","gpt-5.2","No","0","4649","62976","953","68578","0.03"
"2025-12-24T09:35:50.297Z","pro-free-trial","auto","No","1512","0","67072","686","69270","0.02"
"2025-12-24T09:34:30.659Z","pro-free-trial","gpt-5.2","No","0","16019","57728","1153","74900","0.05"
"2025-12-24T09:24:38.859Z","pro-free-trial","gpt-5.2","No","0","21534","34304","1899","57737","0.07"
"2025-12-24T09:23:52.764Z","pro-free-trial","auto","No","62216","0","207360","912","270488","0.14"
"2025-12-24T09:04:12.649Z","pro-free-trial","auto","No","3567","0","256000","2147","261714","0.08"
"2025-12-24T09:03:42.461Z","pro-free-trial","claude-4.5-opus-high-thinking","No","61508","630","91544","9602","163284","0.67"
"2025-12-24T09:03:20.135Z","pro-free-trial","auto","No","1284","0","61952","582","63818","0.02"
"2025-12-24T09:02:24.667Z","pro-free-trial","auto","No","1374","0","60928","619","62921","0.02"
"2025-12-24T08:58:17.881Z","pro-free-trial","auto","No","2261","0","119808","504","122573","0.04"
"2025-12-24T08:46:51.622Z","pro-free-trial","auto","No","1380","0","58368","622","60370","0.02"
"2025-12-24T08:44:28.415Z","pro-free-trial","auto","No","2809","0","172032","1179","176020","0.05"
"2025-12-24T08:40:08.942Z","pro-free-trial","auto","No","1062","0","55808","318","57188","0.02"
"2025-12-24T08:36:50.530Z","pro-free-trial","auto","No","873","0","55296","409","56578","0.02"
"2025-12-24T08:31:04.580Z","pro-free-trial","auto","No","1030","0","54272","556","55858","0.02"
"2025-12-24T08:28:45.725Z","pro-free-trial","auto","No","1274","0","53248","676","55198","0.02"
"2025-12-24T08:21:50.129Z","pro-free-trial","auto","No","1522","0","52224","466","54212","0.02"
"2025-12-24T08:16:21.190Z","pro-free-trial","auto","No","46590","0","6144","393","53127","0.06"
"2025-12-24T08:08:04.151Z","pro-free-trial","auto","No","649","0","51200","584","52433","0.02"
"2025-12-24T08:06:43.242Z","pro-free-trial","auto","No","543","0","50688","327","51558","0.02"
"2025-12-24T08:05:06.756Z","pro-free-trial","auto","No","1094","0","50176","521","51791","0.02"
"2025-12-24T08:01:39.569Z","pro-free-trial","auto","No","997","0","49664","315","50976","0.02"
"2025-12-24T07:57:46.369Z","pro-free-trial","auto","No","1291","0","48640","432","50363","0.02"
"2025-12-24T07:51:45.063Z","pro-free-trial","auto","No","4518","0","44544","411","49473","0.02"
"2025-12-24T07:51:05.093Z","pro-free-trial","auto","No","5154","0","88064","208","93426","0.03"
"2025-12-24T07:31:56.341Z","pro-free-trial","auto","No","2739","0","171008","1168","174915","0.05"
"2025-12-24T07:31:11.104Z","pro-free-trial","auto","No","477","0","41984","244","42705","0.01"
"2025-12-24T07:30:17.383Z","pro-free-trial","auto","No","805","0","41472","105","42382","0.01"
"2025-12-24T07:29:32.362Z","pro-free-trial","auto","No","910","0","40960","325","42195","0.01"
"2025-12-24T07:28:45.000Z","pro-free-trial","auto","No","869","0","40448","244","41561","0.01"
"2025-12-24T07:26:36.952Z","pro-free-trial","auto","No","1531","0","79872","2424","83827","0.04"
"2025-12-24T07:23:52.275Z","pro-free-trial","auto","No","9216","0","177664","2828","189708","0.07"
"2025-12-24T07:11:45.192Z","pro-free-trial","auto","No","9714","0","193024","6631","209369","0.10"
"2025-12-24T07:08:44.164Z","pro-free-trial","auto","No","19060","0","114688","2405","136153","0.07"
"2025-12-24T07:03:42.206Z","pro-free-trial","auto","No","4088","0","71680","2022","77790","0.04"
"2025-12-24T07:00:58.077Z","pro-free-trial","auto","No","6792","0","72192","1371","80355","0.03"
"2025-12-24T06:43:49.242Z","pro-free-trial","claude-4.5-opus-high-thinking","No","1934","133","111443","1021","114531","0.09"
"2025-12-24T06:40:29.129Z","pro-free-trial","claude-4.5-opus-high-thinking","No","36671","1267","69936","1275","109149","0.30"
"2025-12-24T06:39:08.132Z","pro-free-trial","auto","No","4515","0","132608","1967","139090","0.05"
"2025-12-24T06:32:44.112Z","pro-free-trial","auto","No","5017","0","89088","1043","95148","0.03"
"2025-12-24T06:31:59.232Z","pro-free-trial","claude-4.5-opus-high-thinking","No","33591","811","63467","1398","99267","0.28"
"2025-12-24T06:25:55.165Z","pro-free-trial","claude-4.5-opus-high-thinking","No","14952","48","61033","1393","77426","0.16"
"2025-12-24T06:25:48.641Z","pro-free-trial","auto","No","5001","0","193536","1459","199996","0.06"
"2025-12-24T06:23:48.604Z","pro-free-trial","claude-4.5-opus-high-thinking","No","29461","28","15941","1049","46479","0.22"
"2025-12-24T06:23:45.640Z","pro-free-trial","auto","No","2773","0","74240","907","77920","0.03"
"2025-12-24T06:12:20.423Z","pro-free-trial","claude-4.5-opus-high-thinking","No","3328","393","523043","1557","528321","0.32"
"2025-12-24T06:10:54.553Z","pro-free-trial","auto","No","1951","0","45568","801","48320","0.02"
"2025-12-24T06:09:44.152Z","pro-free-trial","auto","No","3881","0","61952","1210","67043","0.03"
"2025-12-24T06:09:29.535Z","pro-free-trial","claude-4.5-opus-high-thinking","No","1907","421","425453","730","428511","0.25"
"2025-12-24T06:08:08.803Z","pro-free-trial","auto","No","2886","0","55296","954","59136","0.02"
"2025-12-24T06:06:18.796Z","pro-free-trial","auto","No","12758","0","72192","1642","86592","0.04"
"2025-12-24T06:02:57.302Z","pro-free-trial","claude-4.5-opus-high-thinking","No","10040","570","786714","5081","802405","0.59"
"2025-12-24T05:58:53.017Z","pro-free-trial","claude-4.5-opus-high-thinking","No","74105","346","0","367","74818","0.47"
"2025-12-24T03:58:50.588Z","pro-free-trial","auto","No","9944","0","49152","1256","60352","0.03"
"2025-12-24T03:52:48.275Z","pro-free-trial","claude-4.5-opus-high-thinking","No","3447","390","430893","2142","436872","0.29"
"2025-12-24T03:48:05.177Z","pro-free-trial","claude-4.5-opus-high-thinking","No","70419","419","207840","1759","280437","0.59"
"2025-12-24T03:43:11.486Z","pro-free-trial","auto","No","2573","0","63488","2496","68557","0.03"
"2025-12-24T03:32:50.752Z","pro-free-trial","auto","No","2083","0","61440","2459","65982","0.03"
"2025-12-24T03:31:48.192Z","pro-free-trial","claude-4.5-opus-high-thinking","No","68050","531","527986","2642","599209","0.76"
"2025-12-24T03:29:51.685Z","pro-free-trial","auto","No","2825","0","58880","1514","63219","0.03"
"2025-12-24T03:13:30.411Z","pro-free-trial","auto","No","11415","0","47616","2166","61197","0.04"
"2025-12-24T03:10:06.658Z","pro-free-trial","auto","No","50697","0","110080","2927","163704","0.11"
"2025-12-24T03:07:07.417Z","pro-free-trial","auto","No","42042","0","88576","1680","132298","0.08"
"2025-12-24T03:06:05.618Z","pro-free-trial","claude-4.5-opus-high-thinking","No","62866","438","186088","958","250350","0.51"
"2025-12-24T02:59:24.917Z","pro-free-trial","claude-4.5-opus-high-thinking","No","60993","442","239465","1305","302205","0.54"
"2025-12-24T02:12:38.934Z","pro-free-trial","claude-4.5-opus-high-thinking","No","58179","414","284310","1580","344483","0.55"
"2025-12-24T01:59:55.794Z","pro-free-trial","auto","Yes","18659","0","120320","3052","142031","0.09"
"2025-12-24T01:55:25.258Z","pro-free-trial","claude-4.5-opus-high-thinking","No","55138","454","417231","3130","475953","0.63"
"2025-12-23T14:07:20.782Z","pro-free-trial","claude-4.5-opus-high-thinking","No","3856","291","280621","2411","287179","0.23"
"2025-12-23T14:02:26.099Z","pro-free-trial","claude-4.5-opus-high-thinking","No","45063","268","174984","958","221273","0.39"
"2025-12-23T13:56:19.843Z","pro-free-trial","claude-4.5-opus-high-thinking","No","42172","271","124018","940","167401","0.35"
"2025-12-23T13:45:43.178Z","pro-free-trial","claude-4.5-opus-high-thinking","No","40395","271","118936","710","160312","0.33"
"2025-12-23T13:36:39.776Z","pro-free-trial","claude-4.5-opus-high-thinking","No","3578","310","181754","2044","187686","0.17"
"2025-12-23T13:32:41.786Z","pro-free-trial","claude-4.5-opus-high-thinking","No","3677","298","130077","2413","136465","0.15"
"2025-12-23T13:29:10.126Z","pro-free-trial","claude-4.5-opus-high-thinking","No","4020","301","174921","1532","180774","0.15"
"2025-12-23T13:25:50.334Z","pro-free-trial","claude-4.5-opus-high-thinking","No","27160","242","53496","514","81412","0.21"
"2025-12-23T13:16:47.779Z","pro-free-trial","claude-4.5-opus-high-thinking","No","25458","22","58438","10021","93939","0.44"
"2025-12-23T13:10:16.047Z","pro-free-trial","claude-4.5-opus-high-thinking","No","16609","14","15992","512","33127","0.12"
"2025-12-23T12:44:06.786Z","pro-free-trial","auto","No","7222","0","310272","2465","319959","0.10"
"2025-12-23T12:38:40.537Z","pro-free-trial","auto","No","9474","0","259584","3870","272928","0.10"
"2025-12-23T12:29:33.321Z","pro-free-trial","auto","No","22743","0","296448","7265","326456","0.15"
"2025-12-23T12:25:29.568Z","pro-free-trial","auto","No","8921","0","42496","3638","55055","0.04"
"2025-12-23T10:03:20.577Z","pro-free-trial","auto","No","32345","0","196096","2073","230514","0.10"
"2025-12-23T09:59:07.102Z","pro-free-trial","auto","No","180462","0","188416","1721","370599","0.28"
"2025-12-23T09:52:25.762Z","pro-free-trial","auto","No","3723","0","355840","1890","361453","0.10"
"2025-12-23T09:51:11.877Z","pro-free-trial","auto","No","5178","0","346112","2067","353357","0.11"
"2025-12-23T09:48:05.234Z","pro-free-trial","auto","No","4288","0","338944","1729","344961","0.10"
"2025-12-23T09:42:01.239Z","pro-free-trial","auto","No","160746","0","175104","2033","337883","0.26"
"2025-12-23T09:39:41.943Z","pro-free-trial","auto","No","2070","0","71680","1316","75066","0.03"
"2025-12-23T09:38:34.222Z","pro-free-trial","auto","No","7386","0","130560","1773","139719","0.05"
"2025-12-23T09:14:23.626Z","pro-free-trial","auto","No","7235","0","181248","1297","189780","0.06"
"2025-12-23T09:04:31.873Z","pro-free-trial","auto","No","9411","0","105984","898","116293","0.04"
"2025-12-23T09:01:35.797Z","pro-free-trial","auto","No","8225","0","148992","2322","159539","0.06"
"2025-12-23T08:59:28.927Z","pro-free-trial","auto","No","3671","0","88576","1382","93629","0.04"
"2025-12-23T08:53:34.186Z","pro-free-trial","auto","No","37396","0","86016","1485","124897","0.08"
